movie,review,rating
הצמה,"""הצמה | סרט מקסים ומרגש עד דמעות""",8.0
היורש,"""היורש |  אחד הסרטים הצרפתים היותר גרועים שראיתי""",
למה מלחמה,"""למה מלחמה | סרט חסר ערך""",
בייביגירל,"""בייביגירל |  המבקרת שקראה לניקול קידמן ""זקנה ג''ינג''ית גונחת"" ל...""",9.0
הטבעת,"""הטבעת | ציון 10 ואין מה להוסיף""",10.0
הנכס,"""הנכס | שחקנים מצויינים,רבקה מיכאלי מעולה""",
בייביגירל,"""בייביגירל | היו לי ציפיות מהסרט לאור הביקורות אבל התאכזבתי""",7.0
נוספרטו,"""נוספרטו |  סרט אימה גותי משובח, אבל לא מושלם""",8.0
בייביגירל,"""בייביגירל |  הסרט""",
הטבעת,"""הטבעת | סרט חזק ואיכותי,קליל וזורם ונותן חומר למחשבה גם אחרי""",10.0
